blue,green,red,ndwi,brightness,label,source_file
0.37730223,0.3301725,0.37321576,-0.061194073,0.36023018,0,GSL_2015_09.tif
0.27771756,0.2325991,0.3001154,-0.1267399,0.27014402,0,GSL_2015_09.tif
0.3453611,0.29479283,0.33516502,-0.06408703,0.32510632,0,GSL_2015_09.tif
0.1337735,0.10394573,0.16895713,-0.23822087,0.13555878,0,GSL_2015_09.tif
0.29980767,0.25602755,0.31400928,-0.10171558,0.28994817,0,GSL_2015_09.tif
0.29676282,0.24783435,0.3084888,-0.10902713,0.284362,0,GSL_2015_09.tif
0.35894355,0.31199175,0.35687655,-0.06710549,0.34260395,0,GSL_2015_09.tif
0.17320737,0.138479,0.20096864,-0.18409161,0.17088501,0,GSL_2015_09.tif
0.2119845,0.17754899,0.24687403,-0.16333911,0.21213585,0,GSL_2015_09.tif
0.35873458,0.2905608,0.3480215,-0.08998151,0.33243898,0,GSL_2015_09.tif
0.3981742,0.28609544,0.2680132,0.032632947,0.3174276,0,GSL_1999_11.tif
0.44264638,0.3299511,0.30149975,0.04505704,0.35803244,0,GSL_1999_11.tif
0.4679198,0.33202234,0.3124123,0.0304298,0.3707848,0,GSL_1999_11.tif
0.47646925,0.3739869,0.35178307,0.030593442,0.40074643,0,GSL_1999_11.tif
0.38819984,0.2978023,0.29304788,0.008046737,0.32635,0,GSL_1999_11.tif
0.40889853,0.29834262,0.27068785,0.048599713,0.32597634,0,GSL_1999_11.tif
0.4364968,0.32193643,0.2936898,0.045882702,0.35070768,0,GSL_1999_11.tif
0.4364968,0.32193643,0.29636443,0.04135844,0.35159922,0,GSL_1999_11.tif
0.42149773,0.30473638,0.28513092,0.033237007,0.3371217,0,GSL_1999_11.tif
0.44467127,0.33922654,0.30952367,0.04578469,0.36447382,0,GSL_1999_11.tif
0.3806253,0.27618966,0.24672304,0.056350816,0.30117932,0,GSL_1999_11.tif
0.39914915,0.28024203,0.2763581,0.006977938,0.3185831,0,GSL_1999_11.tif
0.41009846,0.2817729,0.2416947,0.07656277,0.3111887,0,GSL_1999_11.tif
0.4121983,0.29086825,0.26384076,0.048723634,0.32230243,0,GSL_1999_11.tif
0.39704928,0.29032794,0.2651246,0.045374356,0.3175006,0,GSL_1999_11.tif
0.4629701,0.3234673,0.28063753,0.0708978,0.35569167,0,GSL_1999_11.tif
0.41399822,0.29032794,0.28063753,0.01697193,0.32832122,0,GSL_1999_11.tif
0.3984742,0.28375408,0.25196534,0.059338298,0.31139788,0,GSL_1999_11.tif
0.4263724,0.30329552,0.2651246,0.06715256,0.3315975,0,GSL_1999_11.tif
0.39262456,0.28060225,0.24597414,0.06576072,0.30640033,0,GSL_1999_11.tif
0.38924977,0.28798655,0.26458967,0.042341378,0.313942,0,GSL_1999_11.tif
0.48914346,0.3360747,0.3065281,0.045979526,0.37724876,0,GSL_1999_11.tif
0.48134395,0.33796582,0.3032115,0.05420381,0.37417376,0,GSL_1999_11.tif
0.4536707,0.31707358,0.28181437,0.058874384,0.35085288,0,GSL_1999_11.tif
0.34875232,0.24755289,0.24308552,0.009105196,0.27979693,0,GSL_1999_11.tif
0.36770174,0.27163574,0.2642093,0.01385928,0.30118227,0,GSL_1995_06.tif
0.42410225,0.3270072,0.30644453,0.032461267,0.352518,0,GSL_1995_06.tif
0.5172977,0.42652184,0.39685634,0.036028963,0.44689193,0,GSL_1995_06.tif
0.5297928,0.4441953,0.41472343,0.03431272,0.46290383,0,GSL_1995_06.tif
0.7113513,0.6569255,0.61190724,0.03548003,0.6600613,0,GSL_1995_06.tif
0.32507345,0.22558743,0.23118746,-0.012259918,0.2606161,0,GSL_1995_06.tif
0.3325291,0.22704671,0.22795847,-0.002003835,0.2625114,0,GSL_1995_06.tif
0.34064054,0.22992472,0.22795847,0.0042942143,0.26617458,0,GSL_1995_06.tif
0.4503005,0.3713125,0.3479909,0.032422435,0.38986793,0,GSL_1995_06.tif
0.62643987,0.5760978,0.5443998,0.028289184,0.5823125,0,GSL_1995_06.tif
0.311819,0.22181763,0.22933617,-0.01666511,0.2543243,0,GSL_1995_06.tif
0.29718387,0.18691657,0.18753147,-0.0016421363,0.22387731,0,GSL_1995_06.tif
0.3058476,0.19271316,0.1938603,-0.0029674773,0.23080702,0,GSL_1995_06.tif
0.38209525,0.29048476,0.28134447,0.01598426,0.3179748,0,GSL_1995_06.tif
0.54397917,0.47840726,0.45975712,0.019879378,0.49404785,0,GSL_1995_06.tif
0.30457047,0.21452124,0.22287819,-0.019105932,0.24732332,0,GSL_1995_06.tif
0.31054187,0.21452124,0.22287819,-0.019105932,0.24931377,0,GSL_1995_06.tif
0.31520164,0.21156216,0.22300734,-0.026336761,0.2499237,0,GSL_1995_06.tif
0.40121758,0.30718535,0.30170867,0.008994463,0.33670387,0,GSL_1995_06.tif
0.56399894,0.49154076,0.45041457,0.043660402,0.5019848,0,GSL_1995_06.tif
0.44874725,0.3924315,0.38609302,0.008141643,0.4090906,0,GSL_1995_06.tif
0.50507873,0.4301295,0.39642578,0.040776066,0.44387802,0,GSL_1995_06.tif
0.3963507,0.2994431,0.29327023,0.010414571,0.32968804,0,GSL_1995_06.tif
0.5226133,0.4452087,0.41287214,0.037684705,0.4602314,0,GSL_1995_06.tif
0.6166371,0.548412,0.4869237,0.05938969,0.55065763,0,GSL_1995_06.tif
1.0,1.0,1.0,0.0,1.0,0,GSL_1994_02.tif
